Method,Macro_Acc_%,Macro_Se_%,Macro_Sp_%,Macro_F1_%
opt3_mhca_h1_auprc,93.74,70.83,94.33,58.54
opt3_concat_auprc,91.35,64.57,92.05,55.91
baseline_opt2_recall,93.45,52.76,89.42,48.79
baseline_opt2_f1,93.45,52.76,89.42,48.79
opt3_concat_proj_recall,85.29,82.63,92.16,46.6
opt3_concat_proj_f1,85.29,82.63,92.16,46.6
mhca_h1_recall,86.49,53.48,87.85,45.61
mhca_h1_f1,86.49,53.48,87.85,45.61
opt3_mhca_h1_recall,84.26,66.98,90.93,45.42
opt3_mhca_h1_f1,84.26,66.98,90.93,45.42
mhca_h1_auroc,92.48,43.28,86.16,45.41
fusion_concat_auroc,93.42,47.84,88.43,45.36
fusion_concat_proj_auprc,96.74,42.37,85.42,44.53
baseline_opt2_auroc,96.63,41.46,85.33,43.96
fusion_concat_auprc,93.22,47.56,86.13,43.84
opt3_concat_proj_auprc,95.73,35.27,80.84,39.28
opt3_concat_proj_auroc,95.73,35.27,80.84,39.28
opt3_concat_recall,88.71,41.99,91.75,35.72
opt3_concat_f1,88.71,41.99,91.75,35.72
opt3_concat_auroc,83.64,42.23,89.48,35.31
fusion_concat_proj_recall,81.82,58.78,87.46,34.96
fusion_concat_proj_f1,81.82,58.78,87.46,34.96
fusion_concat_recall,78.64,54.71,87.72,34.95
fusion_concat_f1,78.64,54.71,87.72,34.95
mhca_h1_auprc,85.62,49.25,90.36,33.43
fusion_concat_proj_auroc,94.55,25.23,75.14,24.02
opt3_mhca_h1_auroc,94.52,25.0,75.0,23.55
baseline_opt2_auprc,96.18,40.71,86.43,43.19
